items,domestic,international
http://www.wikidata.org/entity/Q21795364,11700000,15000000
http://www.wikidata.org/entity/Q3602541,1450000,888000
http://www.wikidata.org/entity/Q426631,3000000,5000000
http://www.wikidata.org/entity/Q1778856,339379,0
http://www.wikidata.org/entity/Q15104217,66959374,28300000
http://www.wikidata.org/entity/Q180363,0,92618
http://www.wikidata.org/entity/Q604876,25887265,16200000
http://www.wikidata.org/entity/Q1356395,13400000,22100000
http://www.wikidata.org/entity/Q4703839,102990,0
http://www.wikidata.org/entity/Q24278847,100000,1200000
http://www.wikidata.org/entity/Q19903248,0,10400
http://www.wikidata.org/entity/Q28001090,0,7700000
http://www.wikidata.org/entity/Q1779938,6100000,0
http://www.wikidata.org/entity/Q2623176,123000,1000000
http://www.wikidata.org/entity/Q4726029,102025,0
http://www.wikidata.org/entity/Q17485699,77041952,222400000
http://www.wikidata.org/entity/Q103569,81200000,122700000
http://www.wikidata.org/entity/Q108543,55000000,104000000
http://www.wikidata.org/entity/Q20430699,74262031,164300000
http://www.wikidata.org/entity/Q16960967,9000,27000
http://www.wikidata.org/entity/Q1515669,258836,2820000
http://www.wikidata.org/entity/Q104814,85000000,45700000
http://www.wikidata.org/entity/Q119889,25152389,42600000
http://www.wikidata.org/entity/Q2407956,876425,0
http://www.wikidata.org/entity/Q650076,41979755,87302428
http://www.wikidata.org/entity/Q1638432,142070,0
http://www.wikidata.org/entity/Q155163,80000000,92000000
http://www.wikidata.org/entity/Q496907,470521,1000000
http://www.wikidata.org/entity/Q1758119,1400000,25500000
http://www.wikidata.org/entity/Q100324181,104000,11000000
http://www.wikidata.org/entity/Q24053265,85805944,319134246
http://www.wikidata.org/entity/Q4657791,101072,10100000
http://www.wikidata.org/entity/Q14953721,1050000,9500000
http://www.wikidata.org/entity/Q2819789,93618,0
http://www.wikidata.org/entity/Q1216898,10000000,3000000
http://www.wikidata.org/entity/Q716061,36400000,18000000
http://www.wikidata.org/entity/Q4727451,28284,0
http://www.wikidata.org/entity/Q48803062,104223,0
http://www.wikidata.org/entity/Q590813,33793111,16200000
http://www.wikidata.org/entity/Q4730304,44726,0
http://www.wikidata.org/entity/Q1542674,3744994,0
http://www.wikidata.org/entity/Q22079336,44914877,105100000
http://www.wikidata.org/entity/Q49903,582024,1080000
http://www.wikidata.org/entity/Q23681360,40104041,119520023
http://www.wikidata.org/entity/Q259937,6250000,0
http://www.wikidata.org/entity/Q1917988,1480000,0
http://www.wikidata.org/entity/Q73543320,620000,470000
http://www.wikidata.org/entity/Q1041689,2500000,11000000
http://www.wikidata.org/entity/Q2713475,199702,0
http://www.wikidata.org/entity/Q21527453,3000,12000000
http://www.wikidata.org/entity/Q34252681,5900000,1000000
http://www.wikidata.org/entity/Q1353441,37800000,0
http://www.wikidata.org/entity/Q519147,104271,11600000
http://www.wikidata.org/entity/Q581964,7193485,2580000
http://www.wikidata.org/entity/Q30321629,25258476,35700000
http://www.wikidata.org/entity/Q2837617,549666,0
http://www.wikidata.org/entity/Q21450439,42700000,9400000
http://www.wikidata.org/entity/Q1397677,6060000,0
http://www.wikidata.org/entity/Q15622628,4251,319000
http://www.wikidata.org/entity/Q15078029,21671000,25800000
http://www.wikidata.org/entity/Q104242973,40892,352000
http://www.wikidata.org/entity/Q19839849,20864,497000
http://www.wikidata.org/entity/Q113172010,10300,0
http://www.wikidata.org/entity/Q4734426,9000,0
http://www.wikidata.org/entity/Q16159660,4460301,0
http://www.wikidata.org/entity/Q922402,74707856,63700000
http://www.wikidata.org/entity/Q426396,88000000,111000000
http://www.wikidata.org/entity/Q2819795,14647,7600000
http://www.wikidata.org/entity/Q110820116,95524,0
http://www.wikidata.org/entity/Q22251880,0,100000
http://www.wikidata.org/entity/Q113320435,35594462,62000000
http://www.wikidata.org/entity/Q645405,25075233,25000000
http://www.wikidata.org/entity/Q661061,15501522,3200000
http://www.wikidata.org/entity/Q23763112,18000,0
http://www.wikidata.org/entity/Q1194524,16800000,0
http://www.wikidata.org/entity/Q387348,217326974,144000000
http://www.wikidata.org/entity/Q303678,133110742,209584693
http://www.wikidata.org/entity/Q378311,219614612,223306420
http://www.wikidata.org/entity/Q23925072,6400,0
http://www.wikidata.org/entity/Q14976449,52854059,6000000
http://www.wikidata.org/entity/Q55436190,73343493,10400000
http://www.wikidata.org/entity/Q190956,51973029,90000000
http://www.wikidata.org/entity/Q111608782,64468195,55600000
http://www.wikidata.org/entity/Q28840545,28000000,30000000
http://www.wikidata.org/entity/Q320417,5443795,0
http://www.wikidata.org/entity/Q18428,2600000,18000000
http://www.wikidata.org/entity/Q18152535,111662,0
http://www.wikidata.org/entity/Q27487743,166166,0
http://www.wikidata.org/entity/Q20792155,67729,0
http://www.wikidata.org/entity/Q456017,21128432,10200000
http://www.wikidata.org/entity/Q3280896,1326514,0
http://www.wikidata.org/entity/Q456467,5487117,0
http://www.wikidata.org/entity/Q105095144,22500000,31500000
http://www.wikidata.org/entity/Q461447,14631240,19400000
http://www.wikidata.org/entity/Q467631,93300085,45600000
http://www.wikidata.org/entity/Q986626,1120827,0
http://www.wikidata.org/entity/Q2605468,44494,0
http://www.wikidata.org/entity/Q4742921,67696,0
http://www.wikidata.org/entity/Q33256085,2285144,1740000
http://www.wikidata.org/entity/Q26882523,36700000,31400000
http://www.wikidata.org/entity/Q4743328,26803,0
http://www.wikidata.org/entity/Q464060,7100113,8720000
http://www.wikidata.org/entity/Q1216271,1590000,0
http://www.wikidata.org/entity/Q47500787,10000,0
http://www.wikidata.org/entity/Q270351,130164645,136300000
http://www.wikidata.org/entity/Q692720,22500000,0
http://www.wikidata.org/entity/Q375855,115000000,5500000
http://www.wikidata.org/entity/Q4743942,20473,0
http://www.wikidata.org/entity/Q464841,118626,0
http://www.wikidata.org/entity/Q14948553,14200,1070000
http://www.wikidata.org/entity/Q24231065,1000,0
http://www.wikidata.org/entity/Q20001112,663704,1040000
http://www.wikidata.org/entity/Q4744020,2000000,0
http://www.wikidata.org/entity/Q9013673,150000000,101200000
http://www.wikidata.org/entity/Q4745594,1000,0
http://www.wikidata.org/entity/Q18811617,51507035,83784447
